marco e il nonno preparano l’occorrente per la pesca||||MARCO+NONNO+OCCORRENTE+PREPARARE+(PRESENTE)+PESCA
e si dirigono di buon passo verso il lago||||LORO+LAGO+DIRIGERE+(PRESENTE)
giunti alla riva, salgono sulla piccola barchetta del nonno||||LORO+RIVA+ARRIVARE+(PASSATO)+BARCHETTA+PICCOLA+SALIRE+(PRESENTE)
e remano allontanandosi dalla costa||||LORO+REMARE+(PRESENTE)+COSTA+ALLONTANARE+(PRESENTE)
dopo pochi minuti gettano le lenze nell’acqua||||POCHI+MINUTI+DOPO+LORO+LENZE+GETTARE+(PRESENTE)+ACQUA
e attendono silenziosi che qualche pesce abbocchi||||LORO+SILENZIOSI+ATTENDERE+(PRESENTE)+PESCE+ABBOCCARE+(PRESENTE)
il nonno si è abbassato il cappello di paglia sugli occhi||||NONNO+CAPPELLO+PAGLIA+ABBASSARE+(PASSATO)+OCCHI
marco invece legge il suo fumetto preferito||||MARCO+LEGGERE+(PRESENTE)+FUMETTO+PREFERITO
all’improvviso, un soffio di vento trascina il cappello del nonno nell’acqua||||IMPROVVISO+SOFFIO+VENTO+CAPPELLO+NONNO+TRASCINARE+(PRESENTE)+ACQUA
e la corrente lo allontana rapidamente dalla barca||||CORRENTE+CAPPELLO+ALLONTANARE+(PRESENTE)+RAPIDAMENTE+BARCA
il nonno comincia a remare per raggiungerlo||||NONNO+REMARE+(PRESENTE)+RAGGIUNGERE+(PRESENTE)+CAPPELLO
ma marco, veloce, recupera la lenza e la getta lontano verso il cappello… preso!||||MARCO+VELOCE+LENZA+RECUPERARE+(PRESENTE)+GETTARE+(PRESENTE)+LONTANO+CAPPELLO+PRENDERE+(PRESENTE)
il cappello ritorna così tra le mani del suo proprietario||||CAPPELLO+RITORNARE+(PRESENTE)+MANI+PROPRIETARIO
per ora è l'unica cosa che ha abboccato||||ORA+UNICO+COSA+ABBOCCARE+(PASSATO)
froll è finito nei guai.||||FROLL+(PRESENTE)+FINIRE+GUAI
è goloso di ciliegie e si arrampica sempre agilmente sugli alberi altrui per fare grosse scorpacciate...||||FROLL+GHIOTTO+CILIEGIE+(PRESENTE)+ARRAMPICARE+SEMPRE+VELOCE+SU+ALBERI+ALTRUI+(INFINITO)+FARE+SCORPACCIATE+GROSSE
ma questa volta le cose non sono andate per il verso giusto.||||QUESTA_VOLTA+COSE+(PASSATO)+ANDARE+NON_GIUSTO
insieme al suo amico croll è entrato nel giardino del mago orazio e, dopo aver mangiato ciliegie a volontà, non è stato veloce a scappare come il suo compagno, così il mago l'ha trasformato in un ciliegio dal grosso tronco.||||FROLL+CROLL+(PASSATO)+ENTRARE+GIARDINO+MAGO+ORAZIO(INFINITO)+MANGIARE+CILIEGIE+VOLONTÀ+FROLL+NON+(PASSATO)+ESSERE+VELOCE+SCAPPARE+MAGO+(PASSATO)+TRASFORMARE+FROLL+CILIEGIO+TRONCO+GROSSO
ahimè! come farà a riprendere il suo aspetto normale?||||AHIMÈ+FROLL+COME+(FUTURO)+RIPRENDERE+ASPETTO+SUO+NORMALE
orazio sembra veramente arrabbiato.||||ORAZIO+(PRESENTE)+SEMBRARE+VERO+ARRABBIATO
passata la notte, il folletto croll va a trovare l'amico e implora il mago di liberarlo.||||NOTTE+PASSARE+CROLL+(PRESENTE)+ANDARE+TROVARE+AMICO+(INFINITO)+IMPLORARE+MAGO+LIBERARE
«libererò il tuo amico soltanto se riuscirai a superare due prove!» disse il mago ascoltando le suppliche del folletto.||||MAGO+(PASSATO)+DIRE+ASCOLTARE+SUPPLICHE+CROLL+«(FUTURO)+LIBERARE+TUA+AMICO+SOLO+SE+SUPERARE+DUE+PROVE»
«questa sarà la prima prova: libererai il mio giardino da tutte queste fastidiose zanzare. mettiti all'opera, inizia subito».||||«PRIMA+PROVA+QUESTA+ESSERE+(FUTURO)+LIBERARE+GIARDINO+ZANZARE+FASTIDIOSE+(IMPERATIVO+PRESENTE)+METTERSI+LAVORO+INIZIARE+SUBITO»
croll pensa per qualche minuto e poi, con un fischio acuto, chiama i suoi amici pipistrelli, grandi mangiatori di zanzare.||||CROLL+(PRESENTE)+PENSARE+MINUTI+QUALCHE+CON+FISCHIO+ACUTO(INFINITO)+CHIAMARE+SUOI+AMICI+PIPISTRELLI+MANGIATORE+ZANZARE+GRANDE
in poche ore la prima prova è superata e il folletto torna soddisfatto dal mago.||||POCHI+ORE+PRIMA+PROVA+(PASSATO)+ESSERE+SUPERARE+CROLL+(PRESENTE)+TORNARE+SODDISFATTO+DA+MAGO
«ora dovrai raccogliere tutte le ciliegie del mio giardino e distribuirle alla gente del paese. attento però, se ne mangerai anche una sola, il tuo amico resterà un albero per sempre».||||«ORA+(FUTURO)+DOVERE+RACCOGLIERE+TUTTI+CILIEGIA+GIARDINO+(FUTURO)+DISTRIBUIRE+GENTE+PAESE+ATTENZIONE,+SE+(FUTURO)+MANGIARE+UNA+SOLO,+TUA+AMICO+(FUTURO)+RESTARE+ALBERO+SEMPRE»
croll si prepara a obbedire al mago, un po' preoccupato perché questa prova è veramente difficile!||||CROLL+(PRESENTE)+PREPARARE+OBBEDIRE+MAGO+POCO+PREOCCUPATO+PERCHÉ+PROVA+QUESTA+ESSERE+DIFFICILE+VERO
il folletto riempie numerosi cesti di ciliegie e con il carro li porta in paese, dove la gente lo accoglie incredula.||||CROLL+(PRESENTE)+RIEMPIRE+CESTI+MOLTI+CILIEGIA+CARRO+(PRESENTE)+PORTARE+PAESE+GENTE+LI+(PRESENTE)+ACCOGLIERE+INCREDULO
vorrebbe servirsi anche lui, ma sa che è troppo rischioso e la libertà del suo amico è troppo importante.||||CROLL+(CONDIZIONALE+PRESENTE)+VOLERE+SERVIRSI+ANCHE,+MA+SAPERE+ESSERE+RISCHIOSO+TROPPO+LIBERTÀ+AMICO+SUO+ESSERE+IMPORTANTE+TROPPO
tornato nel giardino del mago, croll scopre che orazio ha mantenuto la sua parola e froll è tornato ad essere un folletto.||||CROLL+(PASSATO)+TORNARE+GIARDINO+MAGO+SCOPRIRE+ORAZIO+(PASSATO)+MANTENERE+PAROLA+SUA+FROLL+(PASSATO)+TORNARE+ESSERE+FOLLETTO
i due amici si abbracciano e si promettono di non andare più a rubare i frutti dai giardini altrui.||||DUE+AMICO+(PRESENTE)+ABBRACCIARE+(FUTURO)+PROMETTERE+NON+ANDARE+PIÙ+RUBARE+FRUTTO+DA+GIARDINO+ALTRUI
una volpe che aveva fame, come vide su una vite dei grappoli sospesi, volle impadronirsene ma non poteva.||||VOLPE+GRAPPOLI+VIDE+(PASSATO)+IMPADRONIRSI+(PASSATO)+POTERE+(PASSATO)
allontanandosi disse fra sé: "sono acerbi".||||VOLPE+ALLONTANARSI+(PASSATO)+DIRE+(PASSATO)+ACERBO
così anche alcuni uomini, non potendo raggiungere i propri scopi per inettitudine, accusano le circostanze.||||UOMINI+SCOPI+RAGGIUNGERE+(PASSATO)+PER+INETTITUDINE+ACCUSARE+(PASSATO)+CIRCOSTANZE
c'era una piccola zanzara assai furba e spavalda.||||ZANZARA+PICCOLA+FURBA+SPAVALDA+(PASSATO)
stanca di giocare con le solite amiche, decise un giorno, di lanciare una sfida al re della foresta.||||ZANZARA+GIOCARE+AMICHE+SOLITE+(PASSATO)+DECIDERE+(PASSATO)+SFIDA+LANCIARE+(FUTURO)+RE+FORESTA
si presentò così davanti al sovrano che era il leone e lo salutò con un rispettoso inchino.||||ZANZARA+SOVRANO+LEONE+(PASSATO)+SALUTARE+INCHINO+(PASSATO)
il grande re che era intento a schiacciare uno dei suoi pisolini più belli lungo la riva di un fiume, lanciò una distratta occhiata all'insetto. "oh! buongiorno".||||RE+GRANDE+PISOLINO+BELLO+FIUME+(PASSATO)+GUARDARE+INSETTO+(PASSATO)
rispose sua maestà spalancando la bocca in un possente sbadiglio.||||RE+RISPONDERE+SBADIGLIARE+(PASSATO)
la zanzara disse: "sire, sono giunta davanti a voi per lanciarvi una sfida!" il leone, un po' più interessato, si risvegliò completamente e si mise ad ascoltare.||||ZANZARA+DIRE+SFIDA+(PASSATO)+LEONE+ASCOLTARE+RISVEGLIARSI+(PASSATO)
“voi" continuò l'insetto "credete di essere il più forte degli animali eppure io dico che se facessimo un duello riuscirei a sconfiggervi!" il sovrano divertito disse: "ebbene se sei tanto sicura, proviamo!"||||INSETTO+DIRE+DUELLO+VINCERE+(PASSATO)+SOVRANO+DIRE+PROVARE+SE+SI+SICURO+(PASSATO)
in men che non si dica il luogo si riempì di animali d'ogni genere desiderosi di assistere alla sfida. il "singolar tenzone" ebbe inizio.||||LUOGO+RIEMPIRE+ANIMALI+GENERE+ASSISTERE+SFIDA+(PASSATO)+INIZIARE+DUO+(PASSATO)
l'insetto andò immediatamente a posarsi sul largo naso dell'avversario cominciando a pungerlo a più non posso.||||INSETTO+POSARSI+NASO+GRANDE+(PASSATO)+PUNGERE+(PASSATO)
il povero leone preso alla sprovvista tentò con le sue enormi zampe di scacciare la zanzara ma, invece di eliminarla, egli non fece altro che graffiarsi il naso con i suoi stessi artigli.||||LEONE+TENTARE+SCACCIARE+ZANZARA+ARTIGLI+(PASSATO)
estenuato, il re della foresta, si gettò a terra sconfitto. così, la piccola zanzara fu acclamata da tutti i presenti.||||RE+FORESTA+CADERE+(PASSATO)+SCONFITTO+ZANZARA+ACCLAMARE+(PASSATO)
levandosi in volo colma di gioia, la zanzara non si accorse però della tela di un ragno tessuta tra due rami e andò ad imprigionarvisi proprio contro.||||ZANZARA+VOLARE+GIOIA+(PASSATO)+ACCORGERE+TELA+RAGNO+DUE+RAMI+(PASSATO)
intrappolato in quell'infida ragnatela l'insetto scoppiò in lacrime, consapevole del pericolo che stava correndo.||||INSETTO+INTRAPPOLARE+RAGNATELA+PIANGERE+(PASSATO)+PERICOLO
